transecto;Region_class;Height_mean;Depth_mean;Good_samples;Date_M;Time_M;Lat_M;Lon_M;Standard_deviation;Skewness;Kurtosis;Corrected_length;Corrected_thickness;Corrected_perimeter;Corrected_area;Image_compactness;Corrected_MVBS;Coefficient_of_variation;X3D_school_area;X3D_school_volume;Frequency
2; MER;0.437463;246.936978;193;20181001; 05:22:54.1240;-4.00035;-81.16603877;1.14E-06;1.461252;1.839083;9.640493;0.492438;28.664552;2.372922;27.554784;-57.72726;67.451428;18.98938;0.442553;120
2; MER;1.065829;252.245906;529;20181001; 05:23:13.1250;-4.00036667;-81.16527001;5.04E-07;1.781766;2.182466;38.367058;5.615067;187.259415;38.24438;72.964202;-65.510601;179.328162;861.734407;46.247474;120
2; MER;0.407997;271.975535;180;20181001; 05:23:19.1340;-4.00035;-81.16500502;5.47E-07;1.471043;1.107258;20.326282;0.567993;60.398491;4.943974;58.717312;-65.641937;200.588968;46.180743;0.90474;120
2; MER;0.308264;302.726307;102;20181001; 05:23:18.1240;-4.00035;-81.16505513;1.88E-06;2.208448;4.611036;26.982231;0.447105;73.177758;4.482081;95.075503;-62.449466;331.22092;48.255562;0.58701;120
2; MER;0.43157;294.438724;357;20181001; 05:23:39.1360;-4.00035;-81.16418662;1.26E-06;1.680503;2.509905;47.727397;1.308432;114.793281;15.968276;65.669702;-60.667881;146.887492;249.792214;4.076833;120
2; MER;0.980488;313.829615;757;20181001; 05:23:45.1240;-4.00035;-81.16393839;7.68E-07;2.00228;4.648154;49.625506;7.080834;243.023857;45.427196;103.459892;-62.664528;141.84351;1405.559877;53.379847;120
2; MER;0.414473;265.685153;160;20181001; 05:23:49.1240;-4.00035;-81.16377017;4.70E-07;1.593549;2.413064;15.600024;0.250662;31.127315;2.550371;30.232228;-66.659638;217.831377;15.641333;0.337422;120
2; MER;0.427944;331.314565;354;20181001; 05:24:08.1240;-4.00033333;-81.16297198;4.08E-07;1.442888;1.890178;61.104911;2.759088;183.156001;22.833253;116.913498;-64.954232;127.543805;674.375304;7.134244;120
2; MER;0.371731;299.973901;205;20181001; 05:24:13.1240;-4.00033333;-81.16277351;3.65E-07;1.686654;3.033289;32.244233;0.734214;110.435666;8.047822;120.595327;-66.659668;169.025206;94.696669;1.422604;120
2; MER;0.601596;281.868634;564;20181001; 05:24:32.1240;-4.00031667;-81.16198687;1.04E-06;2.277108;5.657656;63.074121;2.426646;261.115088;32.429219;167.308336;-62.013801;165.526778;612.234257;10.40077;120
2; MER;0.294664;271.186469;65;20181001; 05:24:32.1240;-4.00031667;-81.16198687;2.34E-07;1.057163;0.329669;7.501495;0.492438;25.079766;1.245378;40.191671;-67.773867;140.347172;14.776085;0.15011;120
2; MER;0.333651;315.074796;184;20181001; 05:24:40.1240;-4.00031667;-81.1616542;7.79E-07;0.748074;-0.375463;12.37494;1.232877;68.031061;3.17582;115.97082;-57.210753;40.993634;61.027117;0.52102;120
2; MER;0.518091;290.509821;400;20181001; 05:24:51.1240;-4.00030204;-81.16118946;7.14E-07;2.148343;4.522318;54.489764;2.864865;208.976662;25.021045;138.892971;-64.313394;192.830453;624.423269;8.110944;120
2; MER;0.397282;340.315094;241;20181001; 05:25:00.1240;-4.00031667;-81.16082039;2.61E-07;1.560334;3.909609;49.52854;1.096878;156.739591;14.544416;134.416093;-67.641658;151.829183;217.307065;2.790766;120
2; MER;0.411019;269.583795;204;20181001; 05:25:02.1340;-4.00031667;-81.16073666;5.12E-07;0.72604;-0.372026;22.302007;0.280884;45.522256;3.882446;42.474892;-65.534657;183.28578;25.057108;0.551923;120
2; MER;0.257491;292.060981;71;20181001; 05:25:03.1240;-4.00031667;-81.16068881;3.01E-07;1.189588;0.294156;7.405463;0.250662;33.721125;0.75503;119.847814;-67.438219;166.838233;7.425073;0.06001;120
